# ra dec outfile fov
36.36255640714357 -3.623212371024224 38553297191174399.png 3.4000000953674316
36.36705935430682 -3.5328504726342405 38553297191178296.png 4.599999904632568
36.14537236268824 -1.2080591405017769 40682076256618132.png 4.599999904632568
36.02619158240056 -1.207834349536715 40682076256618165.png 3.0999999046325684
35.28094781503611 -1.3958697336178725 40682621717463139.png 4.599999904632568
35.30336172406998 -1.3931542671214907 40682621717463201.png 3.9000000953674316
35.44828348169553 -1.3924957142587269 40682621717463279.png 6.5
173.31718092964297 -0.1112238801133962 41091528373837769.png 4.900000095367432
173.24219601041577 -0.0947272473170529 41091528373838446.png 3.200000047683716
177.76892769601795 -1.21637979411494 41104696743588003.png 3.5999999046325684
177.68498611124127 -1.2153008091365238 41104696743588036.png 3.0999999046325684
177.6868747755556 -1.2152379492428167 41104696743588037.png 5.699999809265137
203.7309848063807 -0.6525705102179837 41184424221496654.png 30.700000762939453
33.4190996406137 0.08570824568873192 41747356995050934.png 4.0
33.353673741856284 0.0861967365768234 41747356995051007.png 5.300000190734863
33.37711951224957 0.08695982213201925 41747356995051071.png 3.0999999046325684
33.389881046455685 0.08915613984319397 41747356995051136.png 3.299999952316284
154.7306593096642 1.0267063000419359 42102525020602645.png 5.599999904632568
156.1525587032039 1.4302102824257423 42107069096017420.png 4.099999904632568
156.17472680542866 1.431141474092167 42107069096017434.png 4.199999809265137
156.03590067879082 1.4322616162515447 42107069096017486.png 4.099999904632568
156.16091782695486 1.434949814229378 42107069096017586.png 7.099999904632568
156.09981050945441 1.4420709562103118 42107069096017766.png 7.199999809265137
161.3922904927517 0.8400382436331892 42125060714022375.png 3.5
161.41675206294175 0.8428899995747412 42125060714022407.png 17.200000762939453
161.43121648279265 0.8432871048841001 42125060714022422.png 6.0
161.53888944365596 0.8454153482538626 42125060714022619.png 4.300000190734863
161.54000767835876 0.8468361906669339 42125060714022620.png 3.299999952316284
161.35628847525626 0.09017030134497002 42125176678149472.png 4.099999904632568
161.2056077010269 0.08839789419586072 42125176678149589.png 4.599999904632568
161.27208713858118 0.09968858122411998 42125180973089372.png 16.200000762939453
173.0470569774373 1.0191577917985886 42160519964032577.png 4.599999904632568
172.86683223779366 1.0201057035952945 42160519964032653.png 3.799999952316284
172.97328339000936 1.0209787648767708 42160519964032760.png 5.699999809265137
175.34270968413153 0.10337542775384671 42164213635895906.png 3.5
175.38105493586673 0.10434783569180978 42164213635895961.png 3.5999999046325684
175.33623712488327 0.10511385428692821 42164213635895965.png 2.5
175.3434489207194 0.10604357487252604 42164213635895989.png 2.5999999046325684
175.41723132040983 0.11055124169809805 42164213635896241.png 3.0
175.06985171487128 0.42750703245173066 42164492808778682.png 4.900000095367432
174.92732489680725 0.4310070531132592 42164492808778876.png 4.599999904632568
174.92743398998073 0.4305823541371754 42164492808778879.png 5.699999809265137
174.96884296706352 0.43211860727592716 42164492808779032.png 3.200000047683716
175.05322244247216 0.43403903498640767 42164492808779069.png 3.0
205.46024041421225 0.08785998750913034 42257255512433077.png 8.5
205.46297427175676 0.08884748142348498 42257255512433078.png 5.599999904632568
205.50811892764634 0.0891612517238346 42257255512433125.png 3.4000000953674316
205.54716992214767 0.09555643088866926 42257259807375756.png 3.5999999046325684
205.5993257014003 0.11173556400691605 42257259807376475.png 4.199999809265137
207.48778069834665 0.8012918731367169 42261395860888921.png 4.0
207.48715656809705 0.814517512477067 42261395860889567.png 2.700000047683716
207.31662020753393 0.8226627124085971 42261395860889941.png 5.900000095367432
207.48446494051757 0.6519404062134335 42261395860902243.png 4.300000190734863
207.384072496313 0.6523071824951355 42261395860902270.png 2.9000000953674316
210.51934340424077 1.0814889722384633 42270063104911232.png 4.0
210.5458889856589 1.0843706849934112 42270063104911355.png 4.0
210.54512792983414 1.0848489618379686 42270063104911356.png 3.5
210.564929460504 1.085573697478272 42270063104911430.png 5.199999809265137
210.53056557964484 1.0856588613286253 42270063104911443.png 3.5999999046325684
348.2462738731079 1.0238019854059826 42679077135476527.png 2.9000000953674316
348.27835344072327 1.0318972068305339 42679081430418012.png 4.0
348.27431693257716 1.0413607248306076 42679081430418438.png 3.4000000953674316
348.3940060043676 1.0564326196434264 42679081430419174.png 3.299999952316284
348.40825143851583 1.0663572714762193 42679081430419621.png 3.799999952316284
348.30394461272095 1.0722772630258046 42679081430419875.png 2.4000000953674316
348.2632835476182 1.1036306869972397 42679081430421341.png 2.700000047683716
348.37248968798247 1.1061974722225765 42679081430421450.png 5.0
348.264288603718 1.1251335170480636 42679081430422358.png 4.800000190734863
348.38263473193825 1.153066293277621 42679081430423618.png 4.300000190734863
348.242405671033 1.1549648373708805 42679081430423723.png 6.0
348.30363703587847 1.1560279907801614 42679081430423768.png 5.599999904632568
348.2517026138451 1.1639550791743285 42679081430424165.png 4.300000190734863
348.2976009675345 1.177451452438482 42679081430424711.png 2.4000000953674316
348.36897482084527 1.1986913760065294 42679081430425777.png 3.5999999046325684
348.2762268838631 1.2013169481183812 42679081430425930.png 4.400000095367432
348.341894448107 1.0247412958767628 42679081430436387.png 3.200000047683716
348.333593971152 1.0275113383603618 42679081430436403.png 4.199999809265137
348.3344937666819 1.0293561397354876 42679081430436404.png 2.799999952316284
348.3749137838179 1.0344758681664448 42679081430436678.png 4.400000095367432
348.3636860121707 1.0312363063259415 42679081430436692.png 19.600000381469727
348.3655118670814 1.0310641029950827 42679081430436697.png 29.799999237060547
348.358334856114 1.0344481750722807 42679081430436725.png 4.400000095367432
348.38022931088494 1.0362749618439226 42679081430436742.png 3.5999999046325684
348.29791849022854 1.0384941682850128 42679081430436835.png 5.5
348.3475214664222 1.0390335109687543 42679081430436855.png 4.900000095367432
348.355025422212 1.0393648870409178 42679081430436885.png 3.700000047683716
348.35617717973105 1.0402853246406798 42679081430436886.png 4.0
348.2788368073445 1.0423142884535885 42679081430436941.png 3.0999999046325684
348.28030860347866 1.041774110041295 42679081430436942.png 5.099999904632568
348.40861577998623 1.0454241995718188 42679081430436972.png 3.299999952316284
348.34260002909417 1.044177186539269 42679081430437022.png 21.299999237060547
348.3408495150157 1.0512988621402681 42679081430437256.png 3.700000047683716
348.40268563558595 1.053505761204631 42679081430437363.png 5.699999809265137
348.3827496330526 1.054864726551831 42679081430437424.png 3.4000000953674316
348.3986997715871 1.05770209041711 42679081430437501.png 3.0
348.29876133252435 1.05975972767342 42679081430437606.png 4.300000190734863
348.3095544975237 1.0627804246333998 42679081430437676.png 3.0999999046325684
348.317798631216 1.0623091648539469 42679081430437711.png 4.599999904632568
348.3488164955079 1.0625662805590805 42679081430437721.png 3.4000000953674316
348.40959601764865 1.0686211352922106 42679081430437879.png 4.699999809265137
348.421359438872 1.0683772677253518 42679081430437884.png 4.199999809265137
348.39962289060634 1.069452326512746 42679081430437892.png 6.5
348.3207761796463 1.0713575764371037 42679081430437966.png 4.900000095367432
348.34828244262616 1.0741435301977071 42679081430438015.png 5.800000190734863
348.423925599037 1.0734642662421479 42679081430438040.png 3.5
348.375629493321 1.0747522841361863 42679081430438045.png 4.400000095367432
348.39593093713364 1.0755787106377495 42679081430438086.png 6.199999809265137
348.40781565157073 1.0758349225776203 42679081430438102.png 2.799999952316284
348.2923176557969 1.0776592584050146 42679081430438176.png 4.5
348.38910392437054 1.0814128905464597 42679081430438201.png 5.199999809265137
348.3905521949238 1.0794978838992357 42679081430438202.png 3.200000047683716
348.36999480726206 1.087168051821037 42679081430438555.png 5.5
348.39691617923853 1.0915308666848336 42679081430438640.png 5.0
348.3828269810642 1.0914099142220364 42679081430438645.png 6.5
348.2794583171925 1.0956704025318413 42679081430438874.png 4.0
348.30510018640746 1.099542622510228 42679081430438925.png 3.4000000953674316
348.2686524476968 1.101085408255731 42679081430438949.png 5.199999809265137
348.3046325338656 1.1032575392852946 42679081430439114.png 4.199999809265137
348.27083347661176 1.1052062730182226 42679081430439171.png 4.099999904632568
348.30145092359 1.1077951969202575 42679081430439226.png 3.0999999046325684
348.36565389326285 1.1112970405801712 42679081430439386.png 4.199999809265137
348.2671781692175 1.1142252291689165 42679081430439549.png 3.799999952316284
348.2816359457013 1.1167082105912394 42679081430439566.png 4.199999809265137
348.39366326003596 1.118189221493344 42679081430439636.png 3.0
348.2902336441931 1.117775030560142 42679081430439650.png 3.5999999046325684
348.3474958798123 1.1199903480291555 42679081430439658.png 4.199999809265137
348.25709823847967 1.1201232224553659 42679081430439729.png 3.0
348.32243368176813 1.1255481767240698 42679081430439873.png 4.400000095367432
348.24769468390895 1.1270869690795386 42679081430439967.png 3.0
348.33494749479723 1.1277081738860792 42679081430439992.png 2.9000000953674316
348.31154980351795 1.129429973090809 42679081430440002.png 3.5
348.2496591216142 1.132400435289615 42679081430440181.png 3.200000047683716
348.26783051691405 1.1352975512087111 42679081430440330.png 4.699999809265137
348.2541529747574 1.1451378766728997 42679081430440585.png 7.5
348.2425683577001 1.1427179415791688 42679081430440592.png 3.0
348.2468662329523 1.1444882366339044 42679081430440709.png 3.200000047683716
348.29136950392126 1.1454072785076381 42679081430440713.png 5.300000190734863
348.248448133686 1.146480009261647 42679081430440750.png 4.5
348.2842223670199 1.1483967501388643 42679081430440805.png 3.5
348.2590026245839 1.1480057898542686 42679081430440832.png 4.900000095367432
348.2622284193056 1.1471192976279665 42679081430440833.png 3.799999952316284
348.2581201329235 1.144857189348558 42679081430440834.png 11.199999809265137
348.2659937915324 1.1491729925082397 42679081430440835.png 5.199999809265137
348.2596692759319 1.1451737368125858 42679081430440840.png 33.0
348.2596142698975 1.1467624117978994 42679081430440854.png 41.400001525878906
348.24764055639224 1.1509695544889675 42679081430440879.png 5.199999809265137
348.2956311477918 1.1542225168289921 42679081430441080.png 5.099999904632568
348.29535912917027 1.1521227269370007 42679081430441081.png 3.9000000953674316
348.31254012521725 1.1559462656597714 42679081430441140.png 4.699999809265137
348.2933129547671 1.1564562513024192 42679081430441171.png 5.5
348.28516478190767 1.1563429115995054 42679081430441193.png 4.0
348.3995088232595 1.158523269365694 42679081430441257.png 3.5999999046325684
348.27917835557895 1.164000881186208 42679081430441378.png 6.300000190734863
348.39759071660853 1.1655566261784482 42679081430441471.png 4.199999809265137
